crane_id,equipment_type,date,crane_operation_hours,fuel_consumption_litres,fuel_consumption_kWh,maintenance_status,operator_id,number_of_moves
QC01,Quay Crane,2026-01-01,20.8,0,3554.18,Good,OP_147,520
QC02,Quay Crane,2026-01-01,20.53,0,3549.06,Good,OP_137,595
QC03,Quay Crane,2026-01-01,18.06,0,3510.45,Good,OP_139,469
QC04,Quay Crane,2026-01-01,17.32,0,2615.87,Good,OP_147,502
QC05,Quay Crane,2026-01-01,15.81,0,2865.28,Good,OP_124,474
QC06,Quay Crane,2026-01-01,15.71,0,2589.95,Under Repair,OP_107,424
QC07,Quay Crane,2026-01-01,13.8,0,2282.38,Good,OP_105,358
QC08,Quay Crane,2026-01-01,20.56,0,3834.03,Good,OP_111,514
QC09,Quay Crane,2026-01-01,21.43,0,3666.05,Under Repair,OP_142,557
QC10,Quay Crane,2026-01-01,16.72,0,2531.75,Good,OP_140,484
QC11,Quay Crane,2026-01-01,200,0,3428.19,Good,OP_144,591
QC12,Quay Crane,2026-01-01,21.34,0,3829.24,Good,OP_126,533
RTG01,RTG,2026-01-01,21.43,266.14,0,Good,OP_105,385
RTG02,RTG,2026-01-01,13.09,230.37,0,Due,OP_114,235
RTG03,RTG,2026-01-01,21.69,299.16,0,Good,OP_149,325
RTG04,RTG,2026-01-01,15.01,269.96,0,Good,OP_125,255
RTG05,RTG,2026-01-01,19.31,248.86,0,Good,OP_146,347
RTG06,RTG,2026-01-01,14.66,198.22,0,Under Repair,OP_121,293
RTG07,RTG,2026-01-01,13.73,236.74,0,Good,OP_120,233
RTG08,RTG,2026-01-01,19.6,306.71,0,Good,OP_117,352
RTG09,RTG,2026-01-01,19.39,347.18,0,Due,OP_111,290
RTG10,RTG,2026-01-01,18.08,233.19,0,Under Repair,OP_142,307
RTG11,RTG,2026-01-01,17.47,283.32,0,Good,OP_123,349
RTG12,RTG,2026-01-01,16.57,235.13,0,Good,OP_146,265
RTG13,RTG,2026-01-01,15.61,265.19,0,Good,OP_113,234
RTG14,RTG,2026-01-01,12.22,181.98,0,Good,OP_121,219
RTG15,RTG,2026-01-01,17.38,242.32,0,Good,OP_147,312
